code,name_en,name_tc,address_en,address_tc,telephone,hours_en,hours_tc,lat,lng,district,district_tc,sub_district,sub_district_tc,type,bizTypeCode,cold_chain
H852F013P,"SF Locker Sunshine 24, G/F, Sui Wo Commercial Centre,",自助櫃 火炭穗禾苑商場(Sunshine 24),"Shop 13C, G/F, Sui Wo Commercial Centre, Fo Tan *",火炭穗禾苑商場地下13C鋪(洗衣店內)*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.391884,114.194432,Sha Tin District,沙田區,Fo Tan,火炭,locker,"3,5,6,7",false
H852F014P,"SF Locker Providence Peak, Tai Po",自助櫃 大埔溋玥.天賦海灣,"Carpark (Near Block 15 Entrance), B/F, Providence Peak, Tai Po(Residents only)*",大埔溋玥天賦海灣停車場地庫15座住宅入口旁*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.432553,114.202492,Tai Po District,大埔區,Tai Po,大埔,locker,"3,5,6,7",false
H852F015P,"SF Locker Tower 1, Mayfair by the Sea",自助櫃 大埔逸瓏灣高座1座地下,"Carpark, G/F, Tower 1, Mayfair by the Sea, Tai Po (Residents only)*",大埔逸瓏灣高座1座地下車場(只供住戶使用)*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.430688,114.207279,Tai Po District,大埔區,Tai Po,大埔,locker,"3,5,6,7",false
H852F016P,"SF Locker Tower 7, Mayfair by the Sea",自助櫃 大埔逸瓏灣高座7座地下,"Carpark, G/F, Tower 7, Mayfair by the Sea, Tai Po (Residents only)**",大埔逸瓏灣高座7座地下車場(只供住戶使用)*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.431918,114.205061,Tai Po District,大埔區,Tai Po,大埔,locker,"3,5,6,7",false
H852F017P,"SF Locker The Grandville, Fo Tan",自助櫃 火炭晉名峰,"G/F of Carpark, The Grandville, Fo Tan(Residents only)*",火炭晉名峰地下停車場(只供住戶使用)*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.40098,114.19419,Sha Tin District,沙田區,Fo Tan,火炭,locker,"3,7,6,5",false
H852F018P,"Shan Mei Street, Fo Tan",自助櫃 火炭山尾街,"Bus Terminus (Near Shan Mei Street Sitting-out Area), Shan Mei Street, Fo Tan*",火炭山尾街巴士總站(近山尾街公園)*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.396392,114.194473,Sha Tin District,沙田區,Fo Tan,火炭,station,"3,5,6,7",false
H852F019P,ZHELI · SEA VIEW VILLA,自助櫃 沙田這裏·中大府邸,"B/F, ZHELI · SEA VIEW VILLA, Sha Tin(Residents only)*",沙田這裏·中大府邸地庫(只供住戶使用)*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.40806,114.20969,Sha Tin District,沙田區,Sha Tin,沙田,partner,"3,6,7",false
H852F021P,"Next to Fire Hose Reel, Podium, Block 5, The Arles, Fo Tan",自助櫃 火炭星凱•堤岸,"Next to Fire Hose Reel, Podium, The Arles, Fo Tan(Residents only)*",火炭星凱•堤岸第五座平台消防喉旁(只供住戶使用)*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.395623,114.196612,Sha Tin District,沙田區,Fo Tan,火炭,partner,"3,6,7",false
H852F022P,"Locker No.1, G/F, Plaza Ascot, Fo Tan ",自助櫃 火炭駿景廣場地下33鋪(一號櫃),"Locker No.1, G/F , Plaza Ascot, Fo Tan*",火炭駿景廣場地下33鋪一號櫃(入門口右邊第一列)*,,06:00-23:30,06:00-23:30 周六:06:00-23:30 周日:06:00-23:30 節假日:06:00-23:30,22.3990308,114.201145,Sha Tin District,沙田區,Fo Tan,火炭,station,"3,5,6,7",false
H852F023P,"Locker No.2, Shop33, G/F, Plaza Ascot, Fo Tan",自助櫃 火炭駿景廣場地下33鋪(二號櫃),"Locker No.2, Shop33, G/F , Plaza Ascot, Fo Tan*",火炭駿景廣場地下33鋪二號櫃(入門口右邊第二列)*,,06:00-23:30,06:00-23:30 周六:06:00-23:30 周日:06:00-23:30 節假日:06:00-23:29,22.3990308,114.201145,Sha Tin District,沙田區,Fo Tan,火炭,station,"3,5,6,7",false
